Rank, Movie Name

1, The Shawshank Redemption
2, The Godfather
3, The Godfather: Part II
4, The Dark Knight
5, 12 Angry Men
6, Schindler's List
7, The Lord of the Rings: The Return of the King
8, Pulp Fiction
9, The Good, the Bad and the Ugly
10, The Lord of the Rings: The Fellowship of the Ring
11, Fight Club
12, Forrest Gump
13, Inception
14, The Lord of the Rings: The Two Towers
15, Star Wars: Episode V - The Empire Strikes Back
16, The Matrix
17, Goodfellas
18, One Flew Over the Cuckoo's Nest
19, Seven Samurai
20, Se7en
21, Life Is Beautiful
22, City of God
23, The Silence of the Lambs
24, It's a Wonderful Life
25, Star Wars: Episode IV - A New Hope
26, Saving Private Ryan
27, Spirited Away
28, The Green Mile
29, Interstellar
30, Parasite
31, Léon: The Professional
32, The Usual Suspects
33, Hara-Kiri
34, The Lion King
35, The Pianist
36, Back to the Future
37, Terminator 2: Judgment Day
38, American History X
39, Modern Times
40, Psycho
41, Gladiator
42, City Lights
43, The Departed
44, The Intouchables
45, Whiplash
46, The Prestige
47, Grave of the Fireflies
48, Once Upon a Time in the West
49, Casablanca
50, Cinema Paradiso
51, Rear Window
52, Hamilton
53, Alien
54, Apocalypse Now
55, Memento
56, The Great Dictator
57, Indiana Jones and the Raiders of the Lost Ark
58, Django Unchained
59, The Lives of Others
60, Joker
61, Paths of Glory
62, WALL·E
63, The Shining
64, Avengers: Infinity War
65, Sunset Blvd.
66, Witness for the Prosecution
67, Oldboy
68, Princess Mononoke
69, Spider-Man: Into the Spider-Verse
70, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
71, The Dark Knight Rises
72, Once Upon a Time in America
73, Aliens
74, Your Name.
75, Coco
76, Avengers: Endgame
77, American Beauty
78, Braveheart
79, Das Boot
80, 3 Idiots
81, Toy Story
82, Capharnaüm
83, High and Low
84, Amadeus
85, Inglourious Basterds
86, Star Wars: Episode VI - Return of the Jedi
87, Taare Zameen Par
88, Good Will Hunting
89, Reservoir Dogs
90, 2001: A Space Odyssey
91, Requiem for a Dream
92, Vertigo
93, M
94, The Hunt
95, Eternal Sunshine of the Spotless Mind
96, Citizen Kane
97, Dangal
98, Full Metal Jacket
99, Singin' in the Rain
100, Bicycle Thieves
101, The Kid
102, 1917
103, North by Northwest
104, A Clockwork Orange
105, Snatch
106, Scarface
107, Ikiru
108, Taxi Driver
109, Come and See
110, Toy Story 3
111, Lawrence of Arabia
112, Amélie
113, The Sting
114, A Separation
115, Metropolis
116, Incendies
117, For a Few Dollars More
118, The Apartment
119, Double Indemnity
120, To Kill a Mockingbird
121, Up
122, Indiana Jones and the Last Crusade
123, Heat
124, L.A. Confidential
125, Die Hard
126, Green Book
127, Monty Python and the Holy Grail
128, Yojimbo
129, Rashômon
130, Batman Begins
131, Downfall
132, Children of Heaven
133, Unforgiven
134, Some Like It Hot
135, Ran
136, Howl's Moving Castle
137, All About Eve
138, A Beautiful Mind
139, Casino
140, The Great Escape
141, The Wolf of Wall Street
142, Pan's Labyrinth
143, The Secret in Their Eyes
144, There Will Be Blood
145, Lock, Stock and Two Smoking Barrels
146, My Neighbor Totoro
147, Raging Bull
148, Judgment at Nuremberg
149, The Treasure of the Sierra Madre
150, Dial M for Murder
151, Three Billboards Outside Ebbing, Missouri
152, Shutter Island
153, The Gold Rush
154, Chinatown
155, Babam ve Oglum
156, No Country for Old Men
157, V for Vendetta
158, Inside Out
159, The Seventh Seal
160, The Elephant Man
161, Warrior
162, The Thing
163, The Sixth Sense
164, Trainspotting
165, Soul
166, Jurassic Park
167, Anand
168, The Truman Show
169, Klaus
170, Gone with the Wind
171, Finding Nemo
172, Wild Strawberries
173, Blade Runner
174, Stalker
175, Kill Bill: Vol. 1
176, Memories of Murder
177, The Bridge on the River Kwai
178, Fargo
179, Room
180, The Third Man
181, Gran Torino
182, Wild Tales
183, On the Waterfront
184, Tokyo Story
185, The Deer Hunter
186, In the Name of the Father
187, Autumn Sonata
188, Mary and Max
189, The Grand Budapest Hotel
190, Gone Girl
191, Before Sunrise
192, Hacksaw Ridge
193, Catch Me If You Can
194, Andhadhun
195, Persona
196, Prisoners
197, The Big Lebowski
198, To Be or Not to Be
199, Sherlock Jr.
200, The General
201, How to Train Your Dragon
202, The Bandit
203, Ford v Ferrari
204, 12 Years a Slave
205, Barry Lyndon
206, Mr. Smith Goes to Washington
207, Mad Max: Fury Road
208, Time of the Gypsies
209, Million Dollar Baby
210, Network
211, Dead Poets Society
212, Stand by Me
213, Ben-Hur
214, Harry Potter and the Deathly Hallows: Part 2
215, Cool Hand Luke
216, Hachi: A Dog's Tale
217, Platoon
218, The Handmaiden
219, Logan
220, Into the Wild
221, Rush
222, The Wages of Fear
223, Monty Python's Life of Brian
224, The 400 Blows
225, Spotlight
226, The Passion of Joan of Arc
227, Hotel Rwanda
228, La Haine
229, Amores Perros
230, Andrei Rublev
231, Rocky
232, Gangs of Wasseypur
233, Monsters, Inc.
234, Nausicaä of the Valley of the Wind
235, Vikram Vedha
236, Rebecca
237, Rififi
238, Rang De Basanti
239, Before Sunset
240, In the Mood for Love
241, Portrait of a Lady on Fire
242, Paris, Texas
243, It Happened One Night
244, The Invisible Guest
245, The Help
246, Drishyam
247, The Princess Bride
248, The Battle of Algiers
249, Winter Sleep
250, Tangerines
