Rank, Movie Name, IMDb Rating, Movie Link

"1", "The Shawshank Redemption", "9.3", "https://www.imdb.com/title/tt0111161/"
"2", "The Godfather", "9.2", "https://www.imdb.com/title/tt0068646/"
"3", "The Dark Knight", "9.1", "https://www.imdb.com/title/tt0468569/"
"4", "The Godfather Part II", "9", "https://www.imdb.com/title/tt0071562/"
"5", "12 Angry Men", "9", "https://www.imdb.com/title/tt0050083/"
"6", "The Lord of the Rings: The Return of the King", "9", "https://www.imdb.com/title/tt0167260/"
"7", "Schindler&apos;s List", "9", "https://www.imdb.com/title/tt0108052/"
"8", "The Lord of the Rings: The Fellowship of the Ring", "8.9", "https://www.imdb.com/title/tt0120737/"
"9", "Pulp Fiction", "8.8", "https://www.imdb.com/title/tt0110912/"
"10", "Il buono, il brutto, il cattivo", "8.8", "https://www.imdb.com/title/tt0060196/"
"11", "The Lord of the Rings: The Two Towers", "8.8", "https://www.imdb.com/title/tt0167261/"
"12", "Forrest Gump", "8.8", "https://www.imdb.com/title/tt0109830/"
"13", "Fight Club", "8.8", "https://www.imdb.com/title/tt0137523/"
"14", "Inception", "8.8", "https://www.imdb.com/title/tt1375666/"
"15", "Star Wars: Episode V - The Empire Strikes Back", "8.7", "https://www.imdb.com/title/tt0080684/"
"16", "The Matrix", "8.7", "https://www.imdb.com/title/tt0133093/"
"17", "GoodFellas", "8.7", "https://www.imdb.com/title/tt0099685/"
"18", "Interstellar", "8.7", "https://www.imdb.com/title/tt0816692/"
"19", "One Flew Over the Cuckoo&apos;s Nest", "8.6", "https://www.imdb.com/title/tt0073486/"
"20", "Se7en", "8.6", "https://www.imdb.com/title/tt0114369/"
"21", "It&apos;s a Wonderful Life", "8.6", "https://www.imdb.com/title/tt0038650/"
"22", "The Silence of the Lambs", "8.6", "https://www.imdb.com/title/tt0102926/"
"23", "Shichinin no samurai", "8.6", "https://www.imdb.com/title/tt0047478/"
"24", "Saving Private Ryan", "8.6", "https://www.imdb.com/title/tt0120815/"
"25", "The Green Mile", "8.6", "https://www.imdb.com/title/tt0120689/"
"26", "Cidade de Deus", "8.6", "https://www.imdb.com/title/tt0317248/"
"27", "La vita è bella", "8.6", "https://www.imdb.com/title/tt0118799/"
"28", "Terminator 2: Judgment Day", "8.6", "https://www.imdb.com/title/tt0103064/"
"29", "Back to the Future", "8.5", "https://www.imdb.com/title/tt0088763/"
"30", "Star Wars", "8.6", "https://www.imdb.com/title/tt0076759/"
"31", "Sen to Chihiro no kamikakushi", "8.6", "https://www.imdb.com/title/tt0245429/"
"32", "The Pianist", "8.5", "https://www.imdb.com/title/tt0253474/"
"33", "Gladiator", "8.5", "https://www.imdb.com/title/tt0172495/"
"34", "Gisaengchung", "8.5", "https://www.imdb.com/title/tt6751668/"
"35", "Hotaru no haka", "8.5", "https://www.imdb.com/title/tt0095327/"
"36", "Psycho", "8.5", "https://www.imdb.com/title/tt0054215/"
"37", "The Lion King", "8.5", "https://www.imdb.com/title/tt0110357/"
"38", "Seppuku", "8.6", "https://www.imdb.com/title/tt0056058/"
"39", "Kill Bill: The Whole Bloody Affair", "8.8", "https://www.imdb.com/title/tt6019206/"
"40", "The Departed", "8.5", "https://www.imdb.com/title/tt0407887/"
"41", "Whiplash", "8.5", "https://www.imdb.com/title/tt2582802/"
"42", "The Prestige", "8.5", "https://www.imdb.com/title/tt0482571/"
"43", "American History X", "8.5", "https://www.imdb.com/title/tt0120586/"
"44", "Léon", "8.5", "https://www.imdb.com/title/tt0110413/"
"45", "Spider-Man: Across the Spider-Verse", "8.5", "https://www.imdb.com/title/tt9362722/"
"46", "Nuovo Cinema Paradiso", "8.5", "https://www.imdb.com/title/tt0095765/"
"47", "Casablanca", "8.5", "https://www.imdb.com/title/tt0034583/"
"48", "Intouchables", "8.5", "https://www.imdb.com/title/tt1675434/"
"49", "The Usual Suspects", "8.5", "https://www.imdb.com/title/tt0114814/"
"50", "Django Unchained", "8.5", "https://www.imdb.com/title/tt1853728/"
"51", "Alien", "8.5", "https://www.imdb.com/title/tt0078748/"
"52", "Rear Window", "8.5", "https://www.imdb.com/title/tt0047396/"
"53", "Modern Times", "8.5", "https://www.imdb.com/title/tt0027977/"
"54", "C&apos;era una volta il West", "8.5", "https://www.imdb.com/title/tt0064116/"
"55", "City Lights", "8.5", "https://www.imdb.com/title/tt0021749/"
"56", "Apocalypse Now", "8.4", "https://www.imdb.com/title/tt0078788/"
"57", "WALL·E", "8.4", "https://www.imdb.com/title/tt0910970/"
"58", "Memento", "8.4", "https://www.imdb.com/title/tt0209144/"
"59", "Dune: Part Two", "8.4", "https://www.imdb.com/title/tt15239678/"
"60", "Raiders of the Lost Ark", "8.4", "https://www.imdb.com/title/tt0082971/"
"61", "Avengers: Infinity War", "8.4", "https://www.imdb.com/title/tt4154756/"
"62", "Das Leben der Anderen", "8.4", "https://www.imdb.com/title/tt0405094/"
"63", "Spider-Man: Into the Spider-Verse", "8.4", "https://www.imdb.com/title/tt4633694/"
"64", "Sunset Blvd.", "8.4", "https://www.imdb.com/title/tt0043014/"
"65", "Witness for the Prosecution", "8.4", "https://www.imdb.com/title/tt0051201/"
"66", "Paths of Glory", "8.4", "https://www.imdb.com/title/tt0050825/"
"67", "The Shining", "8.4", "https://www.imdb.com/title/tt0081505/"
"68", "The Great Dictator", "8.4", "https://www.imdb.com/title/tt0032553/"
"69", "Inglourious Basterds", "8.4", "https://www.imdb.com/title/tt0361748/"
"70", "12th Fail", "8.7", "https://www.imdb.com/title/tt23849204/"
"71", "Aliens", "8.4", "https://www.imdb.com/title/tt0090605/"
"72", "Tengoku to jigoku", "8.4", "https://www.imdb.com/title/tt0057565/"
"73", "Avengers: Endgame", "8.4", "https://www.imdb.com/title/tt4154796/"
"74", "Good Will Hunting", "8.4", "https://www.imdb.com/title/tt0119217/"
"75", "The Dark Knight Rises", "8.4", "https://www.imdb.com/title/tt1345836/"
"76", "Coco", "8.4", "https://www.imdb.com/title/tt2380307/"
"77", "Amadeus", "8.4", "https://www.imdb.com/title/tt0086879/"
"78", "Toy Story", "8.3", "https://www.imdb.com/title/tt0114709/"
"79", "Kimi no na wa.", "8.4", "https://www.imdb.com/title/tt5311514/"
"80", "Das Boot", "8.3", "https://www.imdb.com/title/tt0082096/"
"81", "Braveheart", "8.3", "https://www.imdb.com/title/tt0112573/"
"82", "Oldeuboi", "8.3", "https://www.imdb.com/title/tt0364569/"
"83", "Mononoke-hime", "8.3", "https://www.imdb.com/title/tt0119698/"
"84", "Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb", "8.3", "https://www.imdb.com/title/tt0057012/"
"85", "3 Idiots", "8.4", "https://www.imdb.com/title/tt1187043/"
"86", "American Beauty", "8.3", "https://www.imdb.com/title/tt0169547/"
"87", "Capharnaüm", "8.4", "https://www.imdb.com/title/tt8267604/"
"88", "Project Hail Mary", "8.4", "https://www.imdb.com/title/tt12042730/"
"89", "Singin&apos; in the Rain", "8.3", "https://www.imdb.com/title/tt0045152/"
"90", "Joker", "8.3", "https://www.imdb.com/title/tt7286456/"
"91", "C&apos;era una volta in America", "8.3", "https://www.imdb.com/title/tt0087843/"
"92", "Star Wars: Episode VI - Return of the Jedi", "8.3", "https://www.imdb.com/title/tt0086190/"
"93", "Idi i smotri", "8.3", "https://www.imdb.com/title/tt0091251/"
"94", "Requiem for a Dream", "8.3", "https://www.imdb.com/title/tt0180093/"
"95", "Toy Story 3", "8.3", "https://www.imdb.com/title/tt0435761/"
"96", "Ikiru", "8.3", "https://www.imdb.com/title/tt0044741/"
"97", "Jagten", "8.3", "https://www.imdb.com/title/tt2106476/"
"98", "Incendies", "8.3", "https://www.imdb.com/title/tt1255953/"
"99", "Eternal Sunshine of the Spotless Mind", "8.3", "https://www.imdb.com/title/tt0338013/"
"100", "The Apartment", "8.3", "https://www.imdb.com/title/tt0053604/"
"101", "Lawrence of Arabia", "8.3", "https://www.imdb.com/title/tt0056172/"
"102", "Heat", "8.3", "https://www.imdb.com/title/tt0113277/"
"103", "Scarface", "8.3", "https://www.imdb.com/title/tt0086250/"
"104", "2001: A Space Odyssey", "8.3", "https://www.imdb.com/title/tt0062622/"
"105", "Reservoir Dogs", "8.3", "https://www.imdb.com/title/tt0105236/"
"106", "Up", "8.3", "https://www.imdb.com/title/tt1049413/"
"107", "Double Indemnity", "8.3", "https://www.imdb.com/title/tt0036775/"
"108", "North by Northwest", "8.3", "https://www.imdb.com/title/tt0053125/"
"109", "Taare Zameen Par", "8.3", "https://www.imdb.com/title/tt0986264/"
"110", "Full Metal Jacket", "8.2", "https://www.imdb.com/title/tt0093058/"
"111", "M - Eine Stadt sucht einen Mörder", "8.3", "https://www.imdb.com/title/tt0022100/"
"112", "Le fabuleux destin d&apos;Amélie Poulain", "8.3", "https://www.imdb.com/title/tt0211915/"
"113", "Citizen Kane", "8.2", "https://www.imdb.com/title/tt0033467/"
"114", "Vertigo", "8.2", "https://www.imdb.com/title/tt0052357/"
"115", "Jodaeiye Nader az Simin", "8.3", "https://www.imdb.com/title/tt1832382/"
"116", "Die Hard", "8.2", "https://www.imdb.com/title/tt0095016/"
"117", "To Kill a Mockingbird", "8.2", "https://www.imdb.com/title/tt0056592/"
"118", "Indiana Jones and the Last Crusade", "8.2", "https://www.imdb.com/title/tt0097576/"
"119", "The Sting", "8.2", "https://www.imdb.com/title/tt0070735/"
"120", "A Clockwork Orange", "8.2", "https://www.imdb.com/title/tt0066921/"
"121", "Metropolis", "8.2", "https://www.imdb.com/title/tt0017136/"
"122", "1917", "8.2", "https://www.imdb.com/title/tt8579674/"
"123", "Snatch", "8.2", "https://www.imdb.com/title/tt0208092/"
"124", "The Wolf of Wall Street", "8.2", "https://www.imdb.com/title/tt0993846/"
"125", "L.A. Confidential", "8.2", "https://www.imdb.com/title/tt0119488/"
"126", "Der Untergang", "8.2", "https://www.imdb.com/title/tt0363163/"
"127", "The Truman Show", "8.2", "https://www.imdb.com/title/tt0120382/"
"128", "Dangal", "8.3", "https://www.imdb.com/title/tt5074352/"
"129", "Ladri di biciclette", "8.2", "https://www.imdb.com/title/tt0040522/"
"130", "Green Book", "8.2", "https://www.imdb.com/title/tt6966692/"
"131", "Shutter Island", "8.2", "https://www.imdb.com/title/tt1130884/"
"132", "Oppenheimer", "8.2", "https://www.imdb.com/title/tt15398776/"
"133", "Judgment at Nuremberg", "8.3", "https://www.imdb.com/title/tt0055031/"
"134", "Batman Begins", "8.2", "https://www.imdb.com/title/tt0372784/"
"135", "I Swear", "8.4", "https://www.imdb.com/title/tt31514146/"
"136", "Hamilton", "8.3", "https://www.imdb.com/title/tt8503618/"
"137", "Per qualche dollaro in più", "8.2", "https://www.imdb.com/title/tt0059578/"
"138", "Jurassic Park", "8.2", "https://www.imdb.com/title/tt0107290/"
"139", "Taxi Driver", "8.2", "https://www.imdb.com/title/tt0075314/"
"140", "Some Like It Hot", "8.2", "https://www.imdb.com/title/tt0053291/"
"141", "There Will Be Blood", "8.2", "https://www.imdb.com/title/tt0469494/"
"142", "The Father", "8.2", "https://www.imdb.com/title/tt10272386/"
"143", "The Kid", "8.2", "https://www.imdb.com/title/tt0012349/"
"144", "All About Eve", "8.2", "https://www.imdb.com/title/tt0042192/"
"145", "The Sixth Sense", "8.2", "https://www.imdb.com/title/tt0167404/"
"146", "Ran", "8.2", "https://www.imdb.com/title/tt0089881/"
"147", "Casino", "8.2", "https://www.imdb.com/title/tt0112641/"
"148", "No Country for Old Men", "8.2", "https://www.imdb.com/title/tt0477348/"
"149", "The Thing", "8.2", "https://www.imdb.com/title/tt0084787/"
"150", "Prisoners", "8.2", "https://www.imdb.com/title/tt1392214/"
"151", "Top Gun: Maverick", "8.2", "https://www.imdb.com/title/tt1745960/"
"152", "Kill Bill: Vol. 1", "8.2", "https://www.imdb.com/title/tt0266697/"
"153", "El laberinto del fauno", "8.2", "https://www.imdb.com/title/tt0457430/"
"154", "Unforgiven", "8.2", "https://www.imdb.com/title/tt0105695/"
"155", "A Beautiful Mind", "8.2", "https://www.imdb.com/title/tt0268978/"
"156", "Shingeki no Kyojin: The Last Attack", "9.1", "https://www.imdb.com/title/tt33175825/"
"157", "Hauru no ugoku shiro", "8.2", "https://www.imdb.com/title/tt0347149/"
"158", "The Treasure of the Sierra Madre", "8.2", "https://www.imdb.com/title/tt0040897/"
"159", "Finding Nemo", "8.2", "https://www.imdb.com/title/tt0266543/"
"160", "Klaus", "8.2", "https://www.imdb.com/title/tt4729430/"
"161", "Yôjinbô", "8.2", "https://www.imdb.com/title/tt0055630/"
"162", "The Great Escape", "8.2", "https://www.imdb.com/title/tt0057115/"
"163", "The Elephant Man", "8.2", "https://www.imdb.com/title/tt0080678/"
"164", "Monty Python and the Holy Grail", "8.2", "https://www.imdb.com/title/tt0071853/"
"165", "Dial M for Murder", "8.1", "https://www.imdb.com/title/tt0046912/"
"166", "Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen", "8.4", "https://www.imdb.com/title/tt32820897/"
"167", "El secreto de sus ojos", "8.2", "https://www.imdb.com/title/tt1305806/"
"168", "La meglio gioventù", "8.4", "https://www.imdb.com/title/tt0346336/"
"169", "Gone with the Wind", "8.2", "https://www.imdb.com/title/tt0031381/"
"170", "Lock, Stock and Two Smoking Barrels", "8.1", "https://www.imdb.com/title/tt0120735/"
"171", "Chinatown", "8.1", "https://www.imdb.com/title/tt0071315/"
"172", "V for Vendetta", "8.1", "https://www.imdb.com/title/tt0434409/"
"173", "Catch Me If You Can", "8.1", "https://www.imdb.com/title/tt0264464/"
