Rank, Show Name, IMDb Rating, Show Link

"1", "Breaking Bad", "9.5", "https://www.imdb.com/title/tt0903747/"
"2", "Planet Earth II", "9.4", "https://www.imdb.com/title/tt5491994/"
"3", "Planet Earth", "9.4", "https://www.imdb.com/title/tt0795176/"
"4", "Band of Brothers", "9.4", "https://www.imdb.com/title/tt0185906/"
"5", "Chernobyl", "9.3", "https://www.imdb.com/title/tt7366338/"
"6", "The Wire", "9.3", "https://www.imdb.com/title/tt0306414/"
"7", "Avatar: The Last Airbender", "9.3", "https://www.imdb.com/title/tt0417299/"
"8", "Blue Planet II", "9.3", "https://www.imdb.com/title/tt6769208/"
"9", "The Sopranos", "9.2", "https://www.imdb.com/title/tt0141842/"
"10", "Cosmos: A Spacetime Odyssey", "9.2", "https://www.imdb.com/title/tt2395695/"
"11", "Cosmos", "9.3", "https://www.imdb.com/title/tt0081846/"
"12", "Our Planet", "9.2", "https://www.imdb.com/title/tt9253866/"
"13", "Game of Thrones", "9.2", "https://www.imdb.com/title/tt0944947/"
"14", "Bluey", "9.3", "https://www.imdb.com/title/tt7678620/"
"15", "The World at War", "9.2", "https://www.imdb.com/title/tt0071075/"
"16", "Hagane no renkinjutsushi", "9.1", "https://www.imdb.com/title/tt1355642/"
"17", "Life", "9.1", "https://www.imdb.com/title/tt1533395/"
"18", "Rick and Morty", "9.1", "https://www.imdb.com/title/tt2861424/"
"19", "The Last Dance", "9", "https://www.imdb.com/title/tt8420184/"
"20", "The Twilight Zone", "9", "https://www.imdb.com/title/tt0052520/"
"21", "The Vietnam War", "9.1", "https://www.imdb.com/title/tt1877514/"
"22", "Shingeki no Kyojin", "9.1", "https://www.imdb.com/title/tt2560140/"
"23", "Sherlock", "9.1", "https://www.imdb.com/title/tt1475582/"
"24", "Batman: The Animated Series", "9", "https://www.imdb.com/title/tt0103359/"
"25", "Arcane: League of Legends", "9", "https://www.imdb.com/title/tt11126994/"
"26", "Better Call Saul", "9", "https://www.imdb.com/title/tt3032476/"
"27", "The Office", "9", "https://www.imdb.com/title/tt0386676/"
"28", "The Blue Planet", "9", "https://www.imdb.com/title/tt0296310/"
"29", "Clarkson&apos;s Farm", "9", "https://www.imdb.com/title/tt10541088/"
"30", "Scam 1992: The Harshad Mehta Story", "9.2", "https://www.imdb.com/title/tt12392504/"
"31", "Human Planet", "9", "https://www.imdb.com/title/tt1806234/"
"32", "Frozen Planet", "9", "https://www.imdb.com/title/tt2092588/"
"33", "Hunter x Hunter", "9", "https://www.imdb.com/title/tt2098220/"
"34", "Only Fools and Horses", "9", "https://www.imdb.com/title/tt0081912/"
"35", "Firefly", "8.9", "https://www.imdb.com/title/tt0303461/"
"36", "The Civil War", "9", "https://www.imdb.com/title/tt0098769/"
"37", "Death Note: Desu nôto", "8.9", "https://www.imdb.com/title/tt0877057/"
"38", "Gravity Falls", "8.9", "https://www.imdb.com/title/tt1865718/"
"39", "Seinfeld", "8.9", "https://www.imdb.com/title/tt0098904/"
"40", "Dekalog", "8.9", "https://www.imdb.com/title/tt0092337/"
"41", "Gibi", "9", "https://www.imdb.com/title/tt13675832/"
"42", "The Beatles: Get Back", "8.9", "https://www.imdb.com/title/tt9735318/"
"43", "Kaubôi bibappu: Cowboy Bebop", "8.9", "https://www.imdb.com/title/tt0213338/"
"44", "True Detective", "8.9", "https://www.imdb.com/title/tt2356777/"
"45", "Fargo", "8.8", "https://www.imdb.com/title/tt2802850/"
"46", "Nathan for You", "8.9", "https://www.imdb.com/title/tt2297757/"
"47", "Sahsiyet", "9", "https://www.imdb.com/title/tt7920978/"
"48", "Apocalypse: La 2ème guerre mondiale", "9", "https://www.imdb.com/title/tt1508238/"
"49", "Taskmaster", "9", "https://www.imdb.com/title/tt4934214/"
"50", "Africa", "8.9", "https://www.imdb.com/title/tt2571774/"
